Organization Name,Address ,Unit Number,Community,State,Zip Code,County,Services Offered 1,Services Offered 2,Services Offered 3,Services Offered 4,Services Offered 5,Services Offered 6,Services Offered 7,Services Offered 8,Services Offered 9,Website URL,Phone Number,Contact Name 1,Contact Email 1,Contact Name 2,Contact Email 2,Service Class 1,Service Class 2,Service Class 3,Target Population 1,Target Population 2,Target Population 3,Age Range,Additional Notes,,,,,,,,,,,,,,,,,,,,,,
AIDS Support Group of Cape Cod (Provincetown Office),96 Bradford Street,,Provincetown,MA,02657,Barnstable,support group,case management,,public education,,,,,,http://www.asgcc.org/,508.487.9445,,,,,Clubhouse,,,LGBTQ youth,HIV infected or affected individuals,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS Support Group of Cape Cod (Prevention and Screening),336 Commercial Street,#10,Provincetown,MA,02657,Barnstable,support group,case management,STI testing,public education,,,,,,http://www.asgcc.org/,508.487.8311,,,,,Clubhouse,,,LGBTQ youth,HIV infected or affected individuals,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS Support Group of Cape Cod (Foley House),,,Provincetown,MA,02657,Barnstable,housing services,,,,,,,,,http://www.asgcc.org/,508.487.6440,,,,,Clubhouse,,,LGBTQ youth,HIV infected or affected individuals,,,,,,,,,,,,,,,,,,,,,,,,,
Camp Lightbulb,,,Provincetown,MA,02657,Barnstable,social group,,,,,,,,,www.camplightbulb.org,508.237.7651,,camplightbulb@gmail.com,,,clubhouse,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Child and Family Services (Cape Cod Office),1019 Iyannough Road,,Hyannis,MA,02601,Barnstable,mental health services,counseling,case management,referrals,family support,training and technical assistance,adoption services,,,http://child-familyservices.org/cape-cod/,(508) 778-1839,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,LGBTQ youth,family,parent,ally,,,,,,,,,,,,,,,,,,,,,,,
Child and Family Services (Lower Cape Cod Outreach Office),466 Main Street,,Harwich Port,MA,02646,Barnstable,mental health services,counseling,case management,referrals,family support,training and technical assistance,adoption services,,,http://child-familyservices.org/cape-cod/,(800) 576-9444,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,LGBTQ youth,family,parent,ally,,,,,,,,,,,,,,,,,,,,,,,
CIGSYA (Cape and Islands Gay and Straight Youth Alliance) (Now rebranded as Thrive!),56 Barnstable Road,,Hyannis,MA,02601,Barnstable,support group,social group,leadership development,,,,,,,http://www.cigsya.org/CIGSYA_House_-_English/Welcome.html,(508) 778-7744,,info@cigsya.org,Scott Fitzmaurice,scott@cigsya.org,Clubhouse,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
PFLAG Cape Cod,11 Anthony Drive,,Orleans,MA,02653,Barnstable,support group,social group,public education,resources,,,,,,http://www.pflagcapecod.org/,508-737-5832,,,,,"Community Prevention, Education and Outreach",,,LGBTQ youth,parent,ally,,,,,,,,,,,,,,,,,,,,,,,,
Affirmative Counseling,42 Howard Street,,Pittsfield,MA,01201,Berkshire,support group,counseling,mental health services,training and technical assistance,,,,,,www.affirmativecounseling.net,"413.358.3038, 413.358.5697",Sara Shuff,sarashuff@affirmativecounseling.net,Kelly Heck,kellyheck@affirmativecounseling.net,"Clinical and Medical Counseling, Therapy and Treatment",,,LGBTQ youth,transgender youth,family,,,,,,,,,,,,,,,,,,,,,,,,
Berkshire Area Health Education Center: Youth Suicide Prevention Project,703 West Housatonic Street,Suite 208,Pittsfield,MA,01201,Berkshire,training and technical assistance,resources,suicide prevention,,,,,,,http://www.berkshireahec.org/page.php?PageID=2067&PageName=Youth+Suicide+Prevention+Project,413-447-2417,Bear McHugh,bmchugh@berkshireahec.org  ,,,"Community Prevention, Education and Outreach",,,LGBTQ youth,ally ,family,,,,,,,,,,,,,,,,,,,,,,,,
Live Out Loud Youth Group,28 Renne Ave,,Pittsfield,MA,01201,Berkshire,support group,social group,resources,leadership development,,,,,,http://www.affirmativecounseling.net/liveoutloudyouthgroup.html,413.358.5697,Kelly Heck,kellyheck@affirmativecounseling.net,,,"Direct Prevention, Outreach and Stabilization Services",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkshire Stonewall Community Coalition ,,,Pittsfield,MA,01202,Berkshire,LGBTQ bowling league/ games,social group,resources,,,,,,,http://berkshirestonewall.org/,413.822.7268,,info@berkshirestonewall.org,,,Clubhouse,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
PFLAG Lee/ Berkshire,,,,MA,,Berkshire,support group,resources,,,,,,,,,(413) 243-2382,,mssenn29@gmail.com,,,"Community Prevention, Education and Outreach",,,parent,ally,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,
PRIDE Berkshire Community College,1350 West Street,,Pittsfield,MA,01201,Berkshire,support group,social group,,,,,,,,http://www.facebook.com/pages/Pride-BCC/295380640479573,(413) 236-1625,,pcookson@berkshirecc.edu,,,"Direct Prevention, Outreach and Stabilization Services",,,"LGBTQ BCC students, faculty and staff",,,,,,,,,,,,,,,,,,,,,,,,,,
Tapestry Health,777 South Main Street,,Great Barrington,MA,01230,Berkshire,heatlhcare,STI testing,HIV/AIDS,,,,,,,http://www.tapestryhealth.org,(413) 528-4238,,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,LGBTQ youth,individuals infected or affected by HIV/AIDS,,,,,,,,,,,,,,,,,,,,,,,,,
Tapestry Health,77 Hospital Avenue,Suite 210,North Adams,MA,01247,Berkshire,heatlhcare,STI testing,HIV/AIDS,,,,,,,http://www.tapestryhealth.org,(413) 664-5659,,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,LGBTQ youth,individuals infected or affected by HIV/AIDS,,,,,,,,,,,,,,,,,,,,,,,,,
Tapestry Health,100 Wendell Avenue,,Pittsfield,MA,01201,Berkshire,heatlhcare,STI testing,HIV/AIDS,,,,,,,http://www.tapestryhealth.org,(413) 443-2844,,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,LGBTQ youth,individuals infected or affected by HIV/AIDS,,,,,,,,,,,,,,,,,,,,,,,,,
The GLUB Club,,,Monterey,MA,01245,Berkshire,support group,social group,,,,,,,,,(413) 499-2425,,,,,Clubhouse,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
AAGLY (Athol Alliance of Gay and Lesbian Youth),,,Athol,MA,,Worcester,social group,support group,,,,,,,,,(508) 249-2248,,,,,Clubhouse,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
PFLAG of Greater Worcester,4 Mann Street,,Worcester,MA,01602,Worcester,support group,public education ,resources,public education,,,,,,http://www.worcesterpflag.org/index.html,508-631-2699,Laura Farnsworth,pflagworcester@iname.com,,,"Community Prevention, Education and Outreach",,,parent,family,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,
Safe Homes of Central Massachusetts / The Bridge,5 Mann Street,,Worcester,MA,01603,Worcester,support group,resources,leadership development,STI testing,HIV/AIDS,training and technical assistance,counseling,social group,,"
http://www.safehomesma.org/",508-755-0333,,safehomes@thebridgecm.org,,,Child/ Adolescent/ Young Adult Intermediate-Term Stabilization,Clubhouse,,LGBTQ youth,ally,,14-23,,,,,,,,,,,,,,,,,,,,,,,
SWAGLY (Supporters of Worcester Gay and Lesbian Youth),51 Union Street,,Worcester,MA,01608,Worcester,support group,social group,leadership development,,,,,,,www.swagly.org,(508) 755-0005,,Director@swagly.org,,,Clubhouse,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Worcester State University Pride Alliance,486 Chandler Street,Worcester State University,Worcester,MA,01602,Worcester,social group,resources,,,,,,,,http://worcester.edu/StudentActivities/clubs/WSCPrideAlliance,,,wscpridalliance@Worcester.edu,,,Clubhouse,,,LGBTQ youth,,,college student,,,,,,,,,,,,,,,,,,,,,,,
AIDS Project Worcester,85 Green Street,,Worcester,MA,01604,Worcester,HIV/AIDS,healthcare,STI testing,housing services,counseling,mental healh services,support group,,,http://www.aidsprojectworcester.org/,(508) 755-3773 info@aidsprojectworcester.org,,info@aidsprojectworcester.org,,,"Community Prevention, Education, and Outreach",,,LGBTQ youth,individual infected/affected by HIV/AIDS,,,,,,,,,,,,,,,,,,,,,,,,,
15 West Coffeehouse,15 West Street,,Leominster,MA,01453,Worcester,social group,support group,leadership development,,,,,,,http://www.firstchurchuu.org/outreach.html#glbt,978.537.0310  ,,GLBTalliance@gmail.com,,,Clubhouse,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
15 West Coffeehouse,932 Main Street,,Fitchburg,MA,01453,Worcester,social group,support group,leadership development,,,,,,,http://www.firstchurchuu.org/outreach.html#glbt,978.537.0310  ,,GLBTalliance@gmail.com,,,Clubhouse,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
American Civil Liberties Union of Massachusetts,340 Main Street,Room 717,Worcester,MA,01608,Worcester,legal services,public education,resources,,,,,,,http://www.aclum.org/ ,(508) 444-2258,, info@aclum.org ,Chris Robarge,crobarge@aclum.org,"Community Prevention, Education and Outreach",,,LGBTQ folks,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayside Youth,10 Asylum Street,,Milford,MA,01757,Worcester,outreach to homeless and at-risk LGBTQ youth,,,,,,,,,http://www.waysideyouth.org/,508-478-6888,,,,,"Direct Prevention, Outreach and Stabilization Services",,,LGBTQ youth (homeless and at risk),,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS Action Committee,75 Amory Street,,Boston,MA,02119,Suffolk,healthcare,public education,HIV/AIDS,STI testing,resources,,,,,http://www.aac.org/about/,617.437.6200,,,,,"Community Prevention, Education and Outreach",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Children's Law Center,298 Union St.,,Lynn,MA,01903,Essex,legal services,,,,,,,,,http://www.clcm.org/index.html,888-543-5298,,,,,Hotline Support,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
GLAD (Gay and Lesbian Advocates and Defenders) ,30 Winter Street,Suite 800,Boston,MA,02108,Suffolk,legal services,resources,public education,,,,,,,,(617) 426-1350,,,,,Hotline Support,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
GLSEN Massachusetts,,,Boston,MA,02205,Suffolk,training and technical assistance,resources,public education,,,,,,,,(617) 684-5736;,,massachusetts@chapters.glsen.org,,,"Community Prevention, Education and Outreach",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
MA Commission on LGBT Youth,250 Washington St,4th Floor,Boston,MA,02108,Suffolk,resources,public education,,,,,,,,,www.mass.gov/cgly,,617-624-5495,,,Capacity Building ,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts Transgender Political Coalition,,,Boston,MA,02108,Suffolk,resources,public education,training and technical assistance,,,,,,,http://www.masstpc.org/,617-778-0519,,info@masstpc.org,,,"Community Prevention, Education and Outreach",,,LGBTQ youth,transgender youth,parent,,,,,,,,,,,,,,,,,,,,,,,,
Peer Listening Line (Fenway Health),,,,MA,,,hotline,,,,,,,,,,"1-800-399-PEER/1-800-399-7337, www.fenwayhealth.org",,,,,Hotline Support,,,LGBTQ youth,,,under 25,,,,,,,,,,,,,,,,,,,,,,,
The Network La Red,,,Boston,MA,02114,Suffolk,resources,domestic violence services,training and technical assistance,public education,,,,,,," 617-742-4911 (Voice)   617-227-4911 (TTY), http://tnlr.org/",,,,,"Child/ Adolescent/ Young Adult Short-Term Stabilization, Emergency Placement",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
The Peer Listening Line,,,,MA,,Suffolk,24 hour hotline,,,,,,,,,,(800) 399-PEER,,,,,Hotline Support,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
MA Department of Public Health--Safe Spaces for GLBTQ Youth,250 Washington St,4th Floor,Boston,MA,02108,Suffolk,resources,,,,,,,,,,(617) 624-5490,,steven.smyth@massmail.state.ma.us,,,Advocacy and Funding,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
The Peer Listening Line,,,,MA,,Suffolk,24 hour hotline,,,,,,,,,,(800) 399-PEER,,,,,Hotline Support,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Samaritan's,41 West St,4th Floor,Boston,MA,02111,Suffolk,"24 Hour Helpline, Community Education and Outreach",suicide prevention,,,,,,,,,617.536.2460 ,,,,,Helpline,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
American Civil Liberties Union of Massachusetts,211 Congress Street,,Boston,MA,02110,Suffolk,legal services,public education,resources,,,,,,,http://www.aclum.org/ ,617.482.3170 ,, info@aclum.org ,,,"Community Prevention, Education and Outreach",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
AA Central Service Committee of Eastern Mass,12 Channel St.,Suite 604,Boston,MA,02210,Suffolk,referrals ,substance abuse services,support group,public education,,,,,,http://www.aaboston.org/,(617) 426-9444,,,,,"Direct Prevention, Outreach and Stabilization Services",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlington Street Church Youth Outreach,351 Boylston Street,,Boston,MA,02116,Suffolk,community outreach,spirituality,,,,,,,,http://www.ascboston.org/,(617) 536-7050,,office@ascboston.org,,,"Direct Prevention, Outreach and Stabilization Services",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Artists for Humanity,100 West 2nd. Street,,South Boston,MA,02127,Suffolk,career skills,leadership development,recreation,,,,,,,http://afhboston.org/,(617) 268-7620,Susan Rodgerson,srodgerson@afhboston.org,,,Competitive Integrated Employment,,,LGBTQ youth,,,14+,,,,,,,,,,,,,,,,,,,,,,,
BAGLY (Boston Area Gay and Lesbian Youth),14 Beacon St.,Suite 620,Boston,MA,02108,Suffolk,social group,support group,STI Testing,HIV/AIDS,leadership development,public education,resources,referrals,drop in center,http://www.bagly.org/,(617) 227-4313,,info@bagly.org,,,Clubhouse,,,LGBTQ youth,,,under 22,,,,,,,,,,,,,,,,,,,,,,,
Boston GLASS ,25 West Street,3rd Floor,Boston,MA,02111,Suffolk,social group,support group,STI Testing,HIV/AIDS,drop in center,leadership development,public education,referrals,counseling,http://www.jri.org/services/health-hiv-lgbtq-services/health-and-prevention-services/boston-glass,(617) 266-3349,Ismael Rivera,irivera@jri.org,,,Clubhouse,,,LGBTQ youth under 13-25,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Over Troubled Waters,47 West Street,,Boston,MA,02111,Suffolk,shelter services,career skills,education services,healthcare,HIV/AIDS,STI testing,mental health services,counseling,drop in center,http://bridgeotw.org/,617-423-9575,,bridge@bridgeotw.org,,,"Child/Adolescent Short-Term Stabilization, Emergency Placement",,,LGBTQ youth,homeless youth,,14-24,,,,,,,,,,,,,,,,,,,,,,,
Bridging the Gap,650 Dudley Street,,Roxbury,MA,02125,Suffolk,education services,support group,life skills,career skills,,,,,,http://btgboston.wordpress.com/,6173186917,Jovan Zuniga ,btgboston@use.salvationarmy.org,,,"Direct Prevention, Outreach and Stabilization Services",,,At risk/Court involved,LGBTQ youth,,12-17,,,,,,,,,,,,,,,,,,,,,,,
"Children's Hospital Boston, Adolescent Medicine ",300 Longwood Avenue,,Boston,MA,02115,Suffolk,healthcare ,HIV/AIDS,resources,primary care,,,,,,http://www.childrenshospital.org/az/Site2905/mainpageS2905P0.html, 617-355-7181,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boston Children's Hospital, Psychiatry",300 Longwood Avenue,,Boston,MA,02115,Suffolk,mental health services,counseling,,,,,,,,http://www.childrenshospital.org/az/Site2905/mainpageS2905P0.html,617-355-6680,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boston Children's Hospital, Gender Management Services",300 Longwood Avenue,Fegan 4,Boston,MA,02115,Suffolk,healthcare ,counseling,mental health services,endocrinology,,,,,,http://www.childrenshospital.org/clinicalservices/Site2280/mainpageS2280P0.html,617-355-2420,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,LGBTQ youth,transgender youth,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Norman Spack,,,Children's Hospital Boston,MA,,Suffolk,"endocrinologist (specializing in transgender issues, youth, sex development)",,,,,,,,,,"http://specialists.childrenshospital.org/Default.asp?pageID=PHY001917, 617-355-7476, ",,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,"pediatric, adolescent ",,,,,,,,,,,,,,,,,,,,,,,,,,
"Dr. Yvonne Gomez- Carrion, M.D.",330 Brookline Avenue,Shapiro 8,Boston,MA,02215,Suffolk,Obstetrics & Gynecology,healthcare,,,,,,,,http://services.bidmc.org/Find_a_doc/doc_detail.asp?sid=41414642504443,617-667-2952,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
"E.A.G.L.E. (Emerson's Alliance for Gays, Lesbians and Everyone)",150 Boylston Street,Office #L133A,Boston,MA,02116,Suffolk,social group,resources,,,,,,,,http://pages.emerson.edu/Organizations/EAGLE/index.html,,,emersoneagle@gmail.com,,,Clubhouse,,,LGBTQ youth,,,college student,,,,,,,,,,,,,,,,,,,,,,,
Fenway  Health Center,1340 Boylston Street,,Boston,MA,02215,Suffolk,primary care,healthcare,mental health services,HIV/AIDS,STI testing,,,,,http://www.fenwayhealth.org/,617.267.0900,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,LGBTQ folks,,,,,,,,,,,,,,,,,,,,,,,,,,
Fenway  Health Center,16 Haviland Street,,Boston,MA,02215,Suffolk,support group,healthcare,mental health services,HIV/AIDS,STI testing,,,,,http://www.fenwayhealth.org/,617.267.0159,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,LGBTQ folks,,,,,,,,,,,,,,,,,,,,,,,,,,
Fenway  Health Center,142 Berkeley Street,,Boston,MA,02216,Suffolk,healthcare,mental health services,,,,,,,,http://www.fenwayhealth.org/,617.247.7555,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,LGBTQ folks,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic Black Gay Coalition,485 Columbus Ave,,Boston,MA,02118,Suffolk,social group,HIV/AIDS,STI Testing,Support group,leadership development,public education,,,,http://www.hbgc-boston.org,617-487-4242,,Info@HBGC-Boston.org,,,"Community Prevention, Education and Outreach",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyde Square Task Force,375 Centre Street,,Jamaica Plain,MA,02130,Suffolk,career skills,leadership development,education services,recreation,public education,,,,,http://www.hydesquare.org/,617-524-8303,,info@hydesquare.org,,,"Community Prevention, Education and Outreach",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Keshet Parent and Family Connection,284 Amory Street,,Jamaica Plain,MA,02130,Suffolk,support group,training and technical assistance,leadership development,resources,spirituality,public education,,,,http://www.keshetonline.org/program/support-families/,617.524.9227,,http://www.keshetonline.org/,,,"Community Prevention, Education and Outreach",,,LGBTQ youth,parent,family,,,,,,,,,,,,,,,,,,,,,,,,
K-Street Recovery,74 Kilmarnock Street,,Boston,MA,02115,Suffolk,support group,substance abuse services,mental health services,,,,,,,http://www.k-street.com/,(617) 777-0702,,Chairperson@k-street.com,,Secretary@k-street.com,Clubhouse,,,LGBTQ youth,,,,,"Safe meeting space for LGBT individuals seeking recovery from addition, abuse, or discrimination ",,,,,,,,,,,,,,,,,,,,,
Latin American Health Institute,95 Berkeley Street,,Boston,MA,02116,Suffolk,HIV/AIDS,resources,healthcare,mental health services,Substance abuse services,,,,,http://www.lhi.org/Homepage.aspx,(617) 350-6900,,boston@lhi.org ,,,"Community Prevention, Education and Outreach",,,LGBTQ youth,,,,,Pubilc Health/ HIV Services for Latin American community,,,,,,,,,,,,,,,,,,,,,
MAP for Health: Asian Pride,322 Tremont Street,,Boston,MA,02116,Suffolk,STI Testing,support group,leadership development,drop in center,HIV/AIDS,,,,,http://www.maphealth.org/programs/asian-pride/,(617) 426-6755,,map@maphealth.org,Andrea Machado,andrea@maphealth.org,Clubhouse,,,LGBTQ youth,,,16-24,,"a youth development and leadership program that provides services for lesbian, gay, bisexual, transgender, and queer (LGBTQ) youth of Asian and Pacific Islander descent",,,,,,,,,,,,,,,,,,,,,
Massachusetts Transgender Political Coalition,,,Boston,MA,02108,Suffolk,resources,public education,training and technical assistance,,,,,,,http://www.masstpc.org/,617-778-0519,,info@masstpc.org,,,"Community Prevention, Education and Outreach",,,LGBTQ youth,transgender youth,ally,,,,,,,,,,,,,,,,,,,,,,,,
MissionSafe,,,Roxbury,MA,02120 ,Suffolk,career skills,leadership development,education services,counseling,,,,,,http://www.missionsafe.org/home.asp,617-427-0377,,info@missionsafe.org,,,Clubhouse,,,LGBTQ youth,,,11-24,,"MissionSAFE works with highly and proven at-risk youth and young adults from challenged situations and communities, working with them to gain the skills and confidence they need to succeed and thrive, not merely survive, and to be agents for positive change in their communities and the larger world.",,,,,,,,,,,,,,,,,,,,,
MissionSafe,,,Charlestown,MA,02129 ,Suffolk,career skills,leadership development,education services,counseling,,,,,,http://www.missionsafe.org/home.asp,617-427-0377,,info@missionsafe.org,,,Clubhouse,,,LGBTQ youth,,,11-24,,"MissionSAFE works with highly and proven at-risk youth and young adults from challenged situations and communities, working with them to gain the skills and confidence they need to succeed and thrive, not merely survive, and to be agents for positive change in their communities and the larger world.",,,,,,,,,,,,,,,,,,,,,
More than Words,242 East Berkeley St.,2nd Floor,South End,MA,02118,Suffolk,career skills,leadership development,,,,,,,,http://mtwyouth.org/,617-674-5550  ,,info@mtwyouth.org,,,"Education, Vocational and Skills Training",,,LGBTQ youth,,,,,Bookstore run by kids for development of entrprenerial skills,,,,,,,,,,,,,,,,,,,,,
Multicultural AIDS Coalition,31 Heath Street,,Jamaica Plain,MA,02130,Suffolk,HIV/AIDS,training and technical assistance,public education,STI testing,support group,referrals,,,,http://www.mac-boston.org/,617-442-1622,Executive Director Gary Daffin,gdaffin@mac-boston.org,,,Clinical and Medical Diagnostics,,,LGBTQ youth,HIV/AIDS affected/infected individual,,,,"We work to ensure high quality, accessible prevention and treatment services for people living with HIV, at high risk for becoming infected, or closely affected by the disease.  We also support broader community efforts to eradicate conditions that fuel the epidemic, including substance abuse, lack of health care access, homelessness, incarceration and oppression based on race, ethnicity, gender and sexual orientation.",,,,,,,,,,,,,,,,,,,,,
Project Hip Hop,2181 Washington Street,Suite 315,Roxbury,MA,02119,Suffolk,Recreation,leadership development,public education,,,,,,,http://www.projecthiphop.org/   ,(617) 427-7950,,info@projecthiphop.org,,,"Community Prevention, Education and Outreach",,,youth interested in hip hop,,,,,"Project HIP-HOP (Highways Into the Past – History, Organizing and Power) is a youth-led organization that works at the intersection of arts and organizing. Our mission is to teach the hip hop generation how to use hip hop as a cultural tool to educate and motivate our community.",,,,,,,,,,,,,,,,,,,,,
Reflect and Strengthen ,614 Columbia Road,,Dorcester,MA,02125,Suffolk,support groups,life skills,public education,recreation,,,,,,http://www.reflectandstrengthen.org/,617.442.2355,,rands@reflectandstrengthen.org,,,"Direct Prevention, Outreach and Stabilization Services",,,LGBTQ youth,,,14-30,,"Reflect and Strengthen (R&S) is a grassroots collective of young working class women from the urban neighborhoods of Boston who take a holistic approach to organizing to create personal and social transformation. Our programming focuses are political education, healing form trauma, creative expression, community building and campaign work to end racial disparities in the juvenile justice system.",,,,,,,,,,,,,,,,,,,,,
Roxbury Village (Home for Little Wanderers),,,Roxbury,MA,02119,Suffolk,housing services,case management,career services,life skills,,,,,,http://www.thehome.org/site/PageServer?pagename=programs_independent_living#.Uaj3NErloQo,617-267-3700,,,,,Child/Adolescent Community Based Social Skills and Recreation,,,LGBTQ youth,,,18-22,,"Roxbury Village is an innovative program of The Home for Little Wanderers that serves young adults (ages 18-22) in Boston who are homeless or about to be discharged from state systems of care and are at risk of being homeless. Roxbury Village offers stable and affordable housing, as well as intensive services, support and community connections to help build the skills and resources that will put these young people on a path to becoming successful, contributing members of society. ",,,,,,,,,,,,,,,,,,,,,
Roxbury Youthworks—Gaining Independence for Tomorrow Program (GIFT),,,Dorcester,MA,02124,Suffolk,support group,counseilng,life skills,,,,,,,http://www.roxburyyouthworks.org/,617-427-8095,,ctoledo@roxburyyouthworks.org,,,Clubhouse,,,LGBTQ youth,,,12-21,,Roxbury Youthworks provides intensive Life Coaching to victims of commercial sexual exploitation. - See more at: http://www.roxburyyouthworks.org/pages/giftprogram.html#sthash.ccobZnTF.dpuf,,,,,,,,,,,,,,,,,,,,,
Sidney Borum Jr Health Center,75 Kneeland Street,,Boston,MA,02111,Suffolk,healthcare ,STI testing,HIV/AIDS,counseling,primary care,mental healh services,,,,http://sidneyborum.org/,(617) 457-8140,,information@fenwayhealth.org,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,LGBTQ youth,transgender youth,individuals infected/affected by HIV/AIDS,12-29,,"At the Borum, we offer quality, open care to young adults ages 12–29 who need a health center that really gets them.",,,,,,,,,,,,,,,,,,,,,
Southern Jamaica Plain Health Centers,640 Centre Street,,Jamaica Plain,MA,02130,Suffolk,healthcare ,case management,mental health services,leadership development,primary care,public education,recreation,HIV/AIDS,STI testing,http://www.brighamandwomens.org/Departments_and_Services/medicine/services/primarycare/sjphc/default.aspx,   617-983-4100 ,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,LGBTQ youth,,,,,Southern Jamaica Plain Health Center is a community health center licensed by Brigham and Women's Hospital.,,,,,,,,,,,,,,,,,,,,,
Spontaneous Celebrations,45 Danforth Street,,Jamaica Plain,MA,02130,Suffolk,recreation,public education,leadership development,,,,,,,http://www.spontaneouscelebrations.org/,617-524-6373,,admin@spontaneouscelebrations.org,"George Lee, Youth Programs",george@spontaneouscelebrations.org,Clubhouse,,,LGBTQ youth,,,,,"Spontaneous Celebrations is Jamaica Plain's community arts headquarters, serving JP and Roxbury for over 30 years.",,,,,,,,,,,,,,,,,,,,,
Suffolk University Rainbow Alliance, 20 Derne Street,,Boston,MA,02114,Suffolk,social group,support group,public education,,,,,,,https://suffolk.collegiatelink.net/organization/rainbowalliance,(617) 573-8327,,surainbow.alliance@gmail.com,,,"Direct Prevention, Outreach and Stabilization Services",,,LGBTQ youth,,,college student,,Rainbow Alliance is Suffolk's LGBT group on campus. It is both for members and allies of the LGBT community. We have weekly meetings along with many events per month. All are welcome at any time.,,,,,,,,,,,,,,,,,,,,,
Teen Empowerment,21 Balfour Street,,Dorcester,MA,02125,Suffolk,career skills,leadership development,public education,,,,,,,http://www.teenempowerment.org/,617-427-1488,,samantha@teenempowerment.org,,,Clubhouse,,,LGBTQ youth,,,14-21,,"The mission of the Center for Teen Empowerment is to empower youth and adults as agents of individual, institutional, and social change.",,,,,,,,,,,,,,,,,,,,,
Teen Empowerment,384 Warren Street,,Roxbury,MA,02119,Suffolk,career skills,leadership development,public education,,,,,,,http://www.teenempowerment.org/,617-442-4684,,doug@teenempowerment.org,,,Clubhouse,,,LGBTQ youth,,,14-21,,"The mission of the Center for Teen Empowerment is to empower youth and adults as agents of individual, institutional, and social change.",,,,,,,,,,,,,,,,,,,,,
The Theater Offensive,565 Boylston Street,3rd Floor,Boston,MA,02116,Suffolk,Recreation,leadership development,public education,,,,,,,http://www.thetheateroffensive.org,617.661.1600,,info@thetheateroffensive.org,Director of Programs Evelyn Francis,evelyn@thetheateroffensive.org,Clubhouse,,,LGBTQ youth,,,,,"The Theater Offensive’s mission is to form and present the diverse realities of queer lives in art so bold it breaks through personal isolation and political orthodoxy to help build an honest, progressive community.",,,,,,,,,,,,,,,,,,,,,
