Organization,Search Category 1,Search Category 2,Search Category 3,Search Category 4,Search Category 5,Search Category 6,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Service Class 1,Service Class 2,Service Class 3,Website URL,Address,Unit Number,Community,State,Zip Code,County,Phone Number,Contact Name 1,Contact Email 1,Contact Name 2,Contact Email 2,Target Population 1,Target Population 2,Target Population 3,Age Range,Mission Statement,Additional Notes,Date Emailed,Date Called,Initials,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Central Street Health Center,Health and Mental Health,Primary Care Services,,,,,Health Care,,,,,Primary Care Services,,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.challiance.org/Main/Home.aspx,26 Central St,,Somerville,MA,02143,Middlesex,617-591-6033,,,,,LGBTQ youth,,,,"CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.",We offer mental health and counseling services for children and adolescents.,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - East Cambridge Health Center,Health and Mental Health,Primary Care Services,,,,,Health Care,,,,,Primary Care Services,,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.challiance.org/Main/Home.aspx,163 Gore Street,,Cambridge,MA,02141,Middlesex,617-665-1000,,,,,LGBTQ youth,,,,"CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.",,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Everett Family Health Center,Health and Mental Health,Primary Care Services,,,,,Health Care,,,,,Primary Care Services,,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.challiance.org/Main/Home.aspx,391 Broadway,Suite 204,Cambridge,MA,02149,Middlesex,617-665-1000,,,,,LGBTQ youth,,,,"CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.",,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Everett Teen Health Center,Health and Mental Health,Primary Care Services,,,,,Health Care,,,,,Primary Care Services,,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.challiance.org/Main/Home.aspx,100 Elm Street,,Everett,MA,02149,Middlesex,617-665-1000,,,,,LGBTQ youth,,,,"CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.",,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Malden Family Medicine Center,Health and Mental Health,Primary Care Services,,,,,Health Care,,,,,Primary Care Services,,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.challiance.org/Main/Home.aspx,195 Canal Street,,Malden,MA,02148,Middlesex,617-665-1000,,,,,LGBTQ youth,,,,"CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.",,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Revere Family Health Center,Health and Mental Health,Primary Care Services,,,,,Health Care,,,,,Primary Care Services,,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.challiance.org/Main/Home.aspx,454 Broadway,,Revere,MA,02151,Middlesex,617-665-1000,,,,,LGBTQ youth,,,,"CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.",,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Somerville Hospital Primary Care,Health and Mental Health,Primary Care Services,,,,,Health Care,,,,,Primary Care Services,,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.challiance.org/Main/Home.aspx,236 Highland Street,,Somerville,MA,02143,Middlesex,617-665-1000,,,,,LGBTQ youth,,,,"CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.",,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Somerville Teen Connection,Health and Mental Health,Primary Care Services,,,,,Health Care,,,,,Primary Care Services,,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.challiance.org/Main/Home.aspx,81 Highland Avenue,,Somerville,MA,02143,Middlesex,617-665-1000,,,,,LGBTQ youth,,,,"CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.",,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Union Square Family Health,Health and Mental Health,Primary Care Services,,,,,Health Care,,,,,Primary Care Services,,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.challiance.org/Main/Home.aspx,337 Somerville Avenue,,Somerville,MA,02143,Middlesex,617-665-1000,,,,,LGBTQ youth,,,,"CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.",,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Windsor Street Health Center,Health and Mental Health,Primary Care Services,,,,,Health Care,,,,,Primary Care Services,,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.challiance.org/Main/Home.aspx,119 Windsor Street,,Cambridge,MA,02139,Middlesex,617-665-1000,,,,,LGBTQ youth,,,,"CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.",,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Zinberg HIV Clinic,Health and Mental Health,Primary Care Services,,,,,Health Care,,,,,Primary Care Services,,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.challiance.org/Main/Home.aspx,1493 Cambridge St,,Cambridge,MA,02139,Middlesex,617-665-1606,,,,,LGBTQ youth,,,,"CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.",We offer mental health and counseling services for children and adolescents.,,,,,,,,,,,,,,,,,,,,,,
Camp Lightbulb,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,clubhouse,,,www.camplightbulb.org,,,Provincetown,MA,02657,Barnstable,508.237.7651,,camplightbulb@gmail.com,,,LGBTQ youth,,,,"Camp Lightbulb is an overnight summer camp for LGBT youth aged 14 to 18 in Provincetown, MA. ",,,,,,,,,,,,,,,,,,,,,,,
CASPAR Youth Services,Drop-In Center,Job Development and Placement,Housing and Placement Services,Substance Abuse Services,,,Placement Services,Awareness,Employment,,,Short-term stabilization,Intermediate-term stabilization,Drop-in Center,Job Development & Placement,Substance Abuse Services ,,,"Direct Prevention, Outreach, and Stabilization Services",Case Management,,http://www.casparinc.org,5 Middlesex Avenue ,,Somerville,MA,02145,Middlesex,617.592-6896,,mailto:youth@casparinc.org%22,,,LGBTQ youth,,,,At CASPAR we provide community-based services for people with substance use disorders.,,,,,,,,,,,,,,,,,,,,,,,
Center for Hope and Healing,Health and Mental Health,Domestic and Sexual Violence Services,,,,,Para-professional support services,,,,,"Counseling, Therapy and Support",,,,,,,,,,www.centerforhopeandhealing.org,144 Merrimack St,Suite 304,Lowell,MA,01852,,978-452-7721,, info@centerforhopehealing.org,,,,,,,We have been working to support survivors and create community free from sexual violence for over 35 years and are conveniently located in downtown Lowell,,,,,,,,,,,,,,,,,,,,,,,
Child and Family Services,Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Behavioral Health Services,,,,,Clinical Counseling,Behavioral Counseling, Other Professional Counseling and Therapy,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",LGBTQ youth,,http://child-familyservices.org/cape-cod/,118 Long Pond Road,Suite 102,Plymouth,MA,02360,Plymouth, (800) 469-9888,SAME PHONE NUM AS BELOW,,,,LGBTQ youth,family,parent,ally,"Child & Family Services offers comprehensive mental health and child welfare services to children, adults, families and those with special needs. Child and Family’s highly specialized, experienced and culturally sensitive staff are deeply committed to serving each consumer with compassion and respect while maintaining the highest professional and ethical standards.",,,,,,,,,,,,,,,,,,,,,,,
Child and Family Services,Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Behavioral Health Services,,,,,Clinical Counseling,Behavioral Counseling, Other Professional Counseling and Therapy,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://child-familyservices.org/cape-cod/,543 North Street,,New Bedford,MA,02740,Bristol,(508) 996-3154,,,,,LGBTQ youth,family,parent,ally,"Child & Family Services offers comprehensive mental health and child welfare services to children, adults, families and those with special needs. Child and Family’s highly specialized, experienced and culturally sensitive staff are deeply committed to serving each consumer with compassion and respect while maintaining the highest professional and ethical standards.",,,,,,,,,,,,,,,,,,,,,,,
Child and Family Services,Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Behavioral Health Services,,,,,Clinical Counseling,Behavioral Counseling, Other Professional Counseling and Therapy,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://child-familyservices.org/cape-cod/,439 South Union Street,Suite 203B,Lawrence,MA,01843,Essex, (800) 469-9888,,,,,LGBTQ youth,family,parent,ally,"Child & Family Services offers comprehensive mental health and child welfare services to children, adults, families and those with special needs. Child and Family’s highly specialized, experienced and culturally sensitive staff are deeply committed to serving each consumer with compassion and respect while maintaining the highest professional and ethical standards.",,,,,,,,,,,,,,,,,,,,,,,
Child and Family Services (Cape Cod Office),Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Behavioral Health Services,,,,,Clinical Counseling,Behavioral Counseling, Other Professional Counseling and Therapy,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://child-familyservices.org/cape-cod/,1019 Iyannough Road,,Hyannis,MA,02601,Barnstable,(508) 778-1839,,,,,LGBTQ youth,family,parent,ally,"Child & Family Services offers comprehensive mental health and child welfare services to children, adults, families and those with special needs. Child and Family’s highly specialized, experienced and culturally sensitive staff are deeply committed to serving each consumer with compassion and respect while maintaining the highest professional and ethical standards.",,,,,,,,,,,,,,,,,,,,,,,
Child and Family Services (Headquarters),Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Behavioral Health Services,,,,,Clinical Counseling,Behavioral Counseling, Other Professional Counseling and Therapy,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://child-familyservices.org/cape-cod/,3057 Acushnet Avenue,,New Bedford,MA,02745,Bristol,(508) 742-1040,,,,,LGBTQ youth,family,parent,ally,"Child & Family Services offers comprehensive mental health and child welfare services to children, adults, families and those with special needs. Child and Family’s highly specialized, experienced and culturally sensitive staff are deeply committed to serving each consumer with compassion and respect while maintaining the highest professional and ethical standards.",,,,,,,,,,,,,,,,,,,,,,,
Child and Family Services (Lower Cape Cod Outreach Office),Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Behavioral Health Services,,,,,Clinical Counseling,Behavioral Counseling, Other Professional Counseling and Therapy,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://child-familyservices.org/cape-cod/,466 Main Street,,Harwich Port,MA,02646,Barnstable,(800) 576-9444,,,,,LGBTQ youth,family,parent,ally,"Child & Family Services offers comprehensive mental health and child welfare services to children, adults, families and those with special needs. Child and Family’s highly specialized, experienced and culturally sensitive staff are deeply committed to serving each consumer with compassion and respect while maintaining the highest professional and ethical standards.",,,,,,,,,,,,,,,,,,,,,,,
Child and Family Services (Mental Health Clinic),Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Behavioral Health Services,,,,,Clinical Counseling,Behavioral Counseling, Other Professional Counseling and Therapy,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://child-familyservices.org/cape-cod/,1061 Pleasant Street,,New Bedford,MA,02740,Bristol, (508) 996-8572,,,,,LGBTQ youth,family,parent,ally,"Child & Family Services offers comprehensive mental health and child welfare services to children, adults, families and those with special needs. Child and Family’s highly specialized, experienced and culturally sensitive staff are deeply committed to serving each consumer with compassion and respect while maintaining the highest professional and ethical standards.",,,,,,,,,,,,,,,,,,,,,,,
Child and Family Services (Mental Health Clinic),Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Behavioral Health Services,,,,,Clinical Counseling,Behavioral Counseling, Other Professional Counseling and Therapy,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://child-familyservices.org/cape-cod/,66 Troy Street,,New Bedford,MA,02740,Bristol,(508) 676-5708,,,,,LGBTQ youth,family,parent,ally,"Child & Family Services offers comprehensive mental health and child welfare services to children, adults, families and those with special needs. Child and Family’s highly specialized, experienced and culturally sensitive staff are deeply committed to serving each consumer with compassion and respect while maintaining the highest professional and ethical standards.",,,,,,,,,,,,,,,,,,,,,,,
Child Guidance Clinic,Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",Screening and Testing,Domestic and Sexual Violence Services,,,"Behavioral Health Services, Diagnositcs",,,,,Clinical Counseling,Other Professional Counseling and Therapy,Clinical Screening and Testing,Primary Care Services,,,,"Clinicial and Medical Counseling, Therapy, and Treatment",,,http://bhninc.org/content/child-guidance-clinic,110 Maple Street,,Springfield,MA,,Hampden,413-732-7419,"intake dept, vm",,,,,,,,"The Child Guidance Clinic provides comprehensive mental health,educational, developmental, behavioral, and consultative services to Springfield and surrounding communities.  Our multidisciplinary staff offers a variety of culturally competent programs in our clinic, at numerous community sites, and in homes.",,,,,,,,,,,,,,,,,,,,,,,
"Children's Hospital Boston, Adolescent Medicine",Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",Substance Abuse Services,,,,Behavioral Health Services,,,,,Clinical Counseling,Behavioral Counseling,Other Professional Counseling and Therapy,Primary Care Services,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.childrenshospital.org/centers-and-services/division-of-adolescent-medicine/overview,300 Longwood Avenue,,Boston,MA,02115,Suffolk, 617-355-7181,,,,,LGBTQ youth,,,,"The Division of Adolescent/Young Adult Medicine at Boston Children's Hospital provides state-of-the-art, comprehensive primary care and specialty care to patients, ages 10 to 23 years old.  Whether your teen has a common affliction or complex conditions requiring coordinated care, she is in good hands with us.",,,,,,,,,,,,,,,,,,,,,,,
Children's Law Center,Legal Services,,,,,,Other Professional Services,,,,,Legal Services,,,,,,,Hotline Support,,,http://www.clcm.org/index.html,298 Union St.,,Lynn,MA,01903,Essex,888-543-5298,,Info@CLCM.org,,,LGBTQ youth,,,,The mission of the Children's Law Center of Massachusetts is to promote and secure equal justice and to maximize opportunity for low-income children and youth by providing quality advocacy and legal services.,THESE GUYS MAY HAVE A BRANCH IN BOSTON TOO,4/10/2014,,AD,,,,,,,,,,,,,,,,,,,
CIGSYA (Cape and Islands Gay and Straight Youth Alliance) (Now rebranded as Thrive!),Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://www.cigsya.org/CIGSYA_House_-_English/Welcome.html,56 Barnstable Road,,Hyannis,MA,02601,Barnstable,(508) 778-7744,,info@cigsya.org,Scott Fitzmaurice,scott@cigsya.org,LGBTQ youth,,,,"CIGSYA (The Cape & Islands Gay & Straight Youth Alliance) is a community-based alliance of young people from fourteen to twenty-two that exists to improve the lives of LGBTIQQS (lesbian, gay, bisexual, transgender, intersex, queer, questioning and straight) youth on Cape Cod and the Islands by addressing key risk factors such as the self hate, isolation and fear. CIGSYA works toward eliminating all forms of discrimination based on differences through education and training, and by providing a space where young people come together in an environment of respect, free from judgment and harassment.",,,,,,,,,,,,,,,,,,,,,,,
Claudia Martorell,Health and Mental Health,Other Specialist: Infectious Disease,,,,,Health Care,,,,,Other Health Care Provider Services,,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,,57 Mulberry St,,Springfield,MA,01105,Hampden,413-747-5566,,,,,LGBTQ youth,transgender youth,,,,,,,,,,,,,,,,,,,,,,,,,,
"COPLAR (Children of Peace, Love and Rainbows)",Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,,,,Turners Falls,MA,,Franklin,(413) 863-9576,,,,,LGBTQ youth,ally,,,,group meets every Thursday 4-6pm,,,,,,,,,,,,,,,,,,,,,,
"David Norton, Holyoke Pediatrics",Health and Mental Health,Primary Care Services,,,,,Health Care,,,,,Primary Care Services,,,,,,,Individual Primary Care Wellness,,,http://www.holyokepediatrics.com/_providers/_norton/index.html,150 Lower Westfield Rd,,Holyoke,MA,01040,Hampden,413-536-2393,David Norton,,,,LGBTQ youth,,,,"Dr. Norton has particular interests in public and international health, and preventive care",,,,,,,,,,,,,,,,,,,,,,,
Davis Square Family Practice: Dr. Deborah Bershel,Health and Mental Health,Primary Care Services,,,,,Health Care,,,,,Primary Care Services,,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://dsfamilypractice.com/transgender.php,260 Elm Street,105,Somerville,MA,02144,Middlesex,"http://dsfamilypractice.com/transgender.php,%20617)%20666-9577",,,,,transgender youth,LGBTQ youth,,,"A basic principle of at Davis Square Family Practice is to promote the highest level of health possible. At our office, we respect everybody’s right to live their lives to the fullest as they see fit. ",,,,,,,,,,,,,,,,,,,,,,,
"Dr. Nicole Issa, PsyD, LMHC",Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Behavioral Health Services,,,,,Clinical Counseling,Behavioral Counseling,Other Professional Counseling and Therapy,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://drnicoleissa.com/,10 Concord Avenue,,Cambridge,MA,02138 ,Middlesex,617-396-4201,,mailto:drnicoleissa@yahoo.com,,,LGBTQ youth,family,,,"Azimuth Psychological is a group of clinical psychologists in Cambridge and Boston, MA dedicated to providing exceptionally thoughtful psychological testing and therapy. ",,,,,,,,,,,,,,,,,,,,,,,
Dr. Norman Spack,Health and Mental Health,Endocrinologist,,,,,Health Care,,,,,Other Health Care Provider Services,,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.childrenshospital.org/directory/physicians/s/norman-spack,,,Children's Hospital Boston,MA,,Suffolk,"http://specialists.childrenshospital.org/Default.asp?pageID=PHY001917,%20617-355-7476,",,,,,"pediatric, adolescent",,,,,"NO EXPLICITY MISSION STATEMENT, SERVICES OFFERED ARE COVERED IN OUR SEARCH TERMS",,,,,,,,,,,,,,,,,,,,,,
"Dr. Yvonne Gomez- Carrion, M.D.",Health and Mental Health,Other Specialist: OB/GYN,Sexual Health,,,,Health Care,,,,,Other Health Care Provider Services,,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://services.bidmc.org/Find_a_doc/doc_detail.asp?sid=41414642504443,330 Brookline Avenue,Shapiro 8,Boston,MA,02215,Suffolk,617-667-2952,," patientrelations@bidmc.harvard.edu 
(email sent April 7)",Eileen Hughes,ehughes@bidmc.harvard.edu,LGBTQ youth,,,,,"NO EXPLICITY MISSION STATEMENT, SERVICES OFFERED ARE COVERED IN OUR SEARCH TERMS","April 17,2014",,,,,,,,,,,,,,,,,,,,,
Dustin Saldarriaga (at Community Legal Services and Counseling Center),Legal Services,,,,,,Other Professional Services,,,,,Legal Services,,,,,,,Case Management,,,clsacc.org/immigration.html,1 West Street,,Cambridge,MA,02139,Middlesex,(617) 661-1010,Dustin Saldarriaga,dsaldarriaga@clsacc.org,,,LGBTQ youth,immigrant youth,,,Legal services in the Immigration program at CLSACC are free and are available to people who live in Massachusetts. All applicants for services must go through a screening process to determine eligibility for services.,SHOULD THIS BE IMMIGRATION SERVICES SPECIFIC?,,,,,,,,,,,,,,,,,,,,,,
"E.A.G.L.E. (Emerson's Alliance for Gays, Lesbians and Everyone)",Higher Education Organization,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://pages.emerson.edu/Organizations/EAGLE/index.html,150 Boylston Street,Office #L133A,Boston,MA,02116,Suffolk,,,emersoneagle@gmail.com,,,LGBTQ youth,,,college student,,"THEIR WEBSITE DOESN'T INCLUDE MUCH ""ABOUT US""",,,,,,,,,,,,,,,,,,,,,,
East Coast FTM Group,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,"Direct Prevention, Outreach and Stabilization Services",,,,,,Northampton,MA,01060,Hampshire,(413) 584-7616,Bet Power,betpower@yahoo.com,,,LGBTQ youth,transgender youth,,,"Peer support group open to all masculine-identified, female-born persons – FTMs, transmen of all sexual orientations/identities, crossdressers, stone butches, transgendered, transsexuals, non-op, pre-op, post-op, genderqueer, bi-gendered, questioning – and our significant others, family, and allies.",,,,,,,,,,,,,,,,,,,,,,,
"Eunice Aviles,. PsyD",Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",Substance Abuse Services,,,,Behavioral Health Services,,,,,Clinical Counseling,Substance Abuse Services,Other Professional Counseling and Therapy,,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,http://euniceaviles.com/,26 South Prospect Street,Suite 19,Amherst,MA,01002,Hampshire,413-657-6104,Eunice Aviles,dr.euniceaviles@gmail.com,,therapy@euniceaviles.com,LGBTQ youth,transgender youth,,,"I am a Doctor in Clinical Psychology and a Licensed Mental Health Counselor. My general practice focuses on the treatment of depression, anxiety, trauma, substance abuse, impulse control disorders, and the emotional consequences of bullying (for youths and adults) and other social issues. I specialize in the diagnosis and treatment of sexual dysfunction as well as in sexual orientation and gender-related issues.",,,,,,,,,,,,,,,,,,,,,,,
"Eunice Aviles,. PsyD",Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",Substance Abuse Services,,,,Behavioral Health Services,,,,,Clinical Counseling,Substance Abuse Services,Other Professional Counseling and Therapy,,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,http://euniceaviles.com/,57 Mulberry St,,Springfield,MA,01105,Hampden,413-657-6105,Eunice Aviles,dr.euniceaviles@gmail.com,therapy@euniceaviles.com,,LGBTQ youth,transgender youth,,,"I am a Doctor in Clinical Psychology and a Licensed Mental Health Counselor. My general practice focuses on the treatment of depression, anxiety, trauma, substance abuse, impulse control disorders, and the emotional consequences of bullying (for youths and adults) and other social issues. I specialize in the diagnosis and treatment of sexual dysfunction as well as in sexual orientation and gender-related issues.",,,,,,,,,,,,,,,,,,,,,,,
Family Diversity Projects,Community Group,Awareness and Advocacy,,,,,Awareness,,,,,"Community Outreach, Education, and Engagement",,,,,,,"Community Prevention, Education and Outreach",,,http://familydiv.org/about,,,Amherst,MA,01004,Hampshire,"http://familydiv.org/about/,%20413-256-1611",,,,,LGBTQ youth,,,,Family Diversity Projects (FDP) is a non-profit organization (501c (3) devoted to educating people of all ages about the full range of diversity.,,,,,,,,,,,,,,,,,,,,,,,
Fenway  Health Center,Health and Mental Health,Sexual Health,Primary Care Services,Dental Services,Screening and Testing,"Counseling, Therapy, Psychological and Psychiatric Services",Health Care,Behavioral Health Services,Diagnostics,,,"Primary Care Services, ",Psychiatric Services,Dental Services,Other Health Care Provider Services,Clinical Counseling,Behavioral Counseling,Medical Screening and Testing,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.fenwayhealth.org/,1340 Boylston Street,,Boston,MA,02215,Suffolk,617.267.0900,,Information@fenwayhealth.org,"Chris Viveiros
CViveiros@fenwayhealth.org
Phone: 617.927.6342 | Mobile: 617.721.7494
Thursday (April 10) at 1pm",,LGBTQ folks,,,,"The mission of Fenway Health is to enhance the wellbeing of the lesbian, gay, bisexual and transgender community and all people in our neighborhoods and beyond through access to the highest quality health care, education, research and advocacy.",,,,,,,,,,,,,,,,,,,,,,,
Fenway  Health Center,Health and Mental Health,Sexual Health,Primary Care Services,Dental Services,Screening and Testing,"Counseling, Therapy, Psychological and Psychiatric Services",Health Care,Behavioral Health Services,Diagnostics,,,"Primary Care Services, ",Psychiatric Services,Dental Services,Other Health Care Provider Services,Clinical Counseling,Behavioral Counseling,Medical Screening and Testing,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.fenwayhealth.org/,16 Haviland Street,,Boston,MA,02215,Suffolk,617.267.0159,,,,,LGBTQ folks,,,,"The mission of Fenway Health is to enhance the wellbeing of the lesbian, gay, bisexual and transgender community and all people in our neighborhoods and beyond through access to the highest quality health care, education, research and advocacy.",,,,,,,,,,,,,,,,,,,,,,,
Fenway  Health Center,Health and Mental Health,Sexual Health,Primary Care Services,Dental Services,Screening and Testing,"Counseling, Therapy, Psychological and Psychiatric Services",Health Care,Behavioral Health Services,Diagnostics,,,"Primary Care Services, ",Psychiatric Services,Dental Services,Other Health Care Provider Services,Clinical Counseling,Behavioral Counseling,Medical Screening and Testing,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.fenwayhealth.org/,142 Berkeley Street,,Boston,MA,02216,Suffolk,617.247.7555,,,,,LGBTQ folks,,,,"The mission of Fenway Health is to enhance the wellbeing of the lesbian, gay, bisexual and transgender community and all people in our neighborhoods and beyond through access to the highest quality health care, education, research and advocacy.",,,,,,,,,,,,,,,,,,,,,,,
Food for Thought Books,Community Group,,,,,,Awareness,,,,,"Community Outreach, Education, and Engagement",,,,,,,"Direct Prevention, Outreach and Stabilization Services",,,http://www.foodforthoughtbooks.com/,106 North Pleasant Street,,Amherst,MA,01002,Hampshire,413-253-5432,,info@foodforthoughtbooks.com,,,LGBTQ youth,,,,"This is a not-for-profit, workers' collective bookstore featuring queer yoga, queer & trans pen pal program, and queer author readings.",,,,,,,,,,,,,,,,,,,,,,,
Framingham Regional Alliance of Gay and Lesbian Youth (FRAGLY),Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,Part of AGLY network?,,,Framingham,MA,,Middlesex,(508) 655-7183,,,,,LGBTQ youth,,,,This is part of a collaboration of community-based youth groups for GLBT youth,,,,,,,,,,,,,,,,,,,,,,,
Franklin Area Gay and Lesbian Youth (FRAGLY),Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,Is this in the network? http://www.bagly.org/programs/youth-group/find-an-agly,,,Franklin,MA,,Franklin,(508)-528-6412,,,,,LGBTQ youth,,,,This is part of a collaboration of community-based youth groups for GLBT youth,,,,,,,,,,,,,,,,,,,,,,,
