Organization	NEW Search Category	NEW Search Category 2	Search Category 1	Search Category 2	Search Category 3	Search Category 4	Search Category 5	Search Category 6	Revised Service Class: Level 1	Revised Service Class: Level 1	Revised Service Class: Level 1	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Service Class 1	Service Class 2	Service Class 3	Website URL	Address	Unit Number	City	State	Zip Code	County	Phone Number	Contact Name 1	Contact Email 1	Contact Name 2	Contact Email 2 (NOT FOR PUBLIC USE)	Target Population 1	Target Population 2	Target Population 3	Min Age	Max Age	Mission Statement	Languages Spoken	Wheelchair Accessible?	Insurance Accepted	Additional Notes
Community Legal Services and Counseling Center	Legal		Legal Services	Counseling, Therapy, Psychological and Psychiatric Services					Other Professional Services			Legal Services							Case Management			clsacc.org/immigration.html	1 West Street		Cambridge	MA	02139	Middlesex	(617) 661-1010		info@clsacc.org		bmitchell@clsacc.org	LGBTQ			18		Community Legal Services and Counseling Center provides free civil legal aid and affordable psychological counseling to low-income people. Our services combat the effects of poverty and violence by helping clients and their children meet basic human needs for safety, income, health and housing. CLSACC draws on the expertise of dedicated volunteer professionals to provide direct services to our community's most vulnerable members. 	English, Spanish, French, Farsi, other languages spoken by volunteers which varies	Yes	N/A	
Community Research Initiative of New England	Physical Health		HIV and AIDS Services							Health Care												crine.org	38 Chauncy Street	Suite 500	Boston	MA	02111	Suffolk	(617) 502-1700		info@crine.org								Our mission is to lead the way in clinical HIV/AIDS and Hepatitis C research and to ensure access to lifesaving drugs to those in need.				
Compass	Community & Social Support		Community Group						Para-professional Support Services													compassftm.org				MA					compassftm@comcast.net			Transgender					Compass started in 1999, as a reconfiguration of an FTM (female-to-male) group that had been meeting in the Boston area for several years. We chose the name Compass because it suggests that the group can help each member navigate their course and follow their true direction. We also liked that it's part of the words 'encompass' and 'compassion.' We are all here because we need something: an end to isolation, a sense of belonging, emotional support, friends and laughter as well as information and referrals to other resources. You can find all these things in the group.				
Congregation Am Tikva	Faith Based Organization		Faith Based Organization						Para-professional Support Services													amtikva.org	Weintraub Auditorium, 50 Sewall Avenue		Brookline	MA	02446	Suffolk	(617) 383-9539		info@amtikva.org			LGBTQ					Serving Boston's LGBT Jewish Community Since 1976				
Congregation Dorshei Tzedek	Faith Based Organization		Faith Based Organization						Para-professional Support Services													dorsheitzedek.org	60 Highland Street		West Newton	MA	02465	Middlesex	(617) 965-0330		info@dorsheitzedek.org								Dorshei Tzedek is a dynamic and growing Reconstructionist congregation in West Newton, Massachusetts. We are dedicated to Jewish learning and to ethical Jewish living in the modern world. Our Reconstructionist educational program is committed to making Judaism relevant and meaningful for children as well as adults.				
Connexion	Faith Based Organization		Faith Based Organization						Para-professional Support Services													connexionumc.org	149 Broadway		Somerville	MA	02145	Middlesex	(617) 776-4172		connect@connexionumc.org	Justin Hildebrandt	pastor@connexionumc.org						Connexion is a diverse community of faith in Somerville, Massachusetts living out the vision that life is better connected to each other and God.	English	Yes	N/A	
Dignity Boston	Faith Based Organization		Faith Based Organization						Para-professional Support Services													dignityboston.org	St. John the Evangelist Church, 35 Bowdoin Street		Boston	MA	02114	Suffolk	(617) 421-1915		info@dignityboston.org			LGBTQ					Dignity/Boston is a progressive, inclusive community of gay, lesbian, bisexual and transgendered Catholics and friends. We are a member chapter of DignityUSA, a national organization with dozens of chapters and thousands of members.				
Dr. Nicole Issa, PsyD, LMHC	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services					Behavioral Health Services			Clinical Counseling	Behavioral Counseling	Other Professional Counseling and Therapy					Clinical and Medical Counseling, Therapy, and Treatment			http://drnicoleissa.com/	10 Concord Avenue		Cambridge	MA	02138 	Middlesex	(617) 396-4201		drnicoleissa@yahoo.com			LGBTQ	Family				Azimuth Psychological is a group of clinical psychologists in Cambridge and Boston, MA dedicated to providing exceptionally thoughtful psychological testing and therapy. 				
Dr. Shelley Janiczek Woodson 	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services					Behavioral Health Services			Clinical Counseling	Other Professional Counseling and Therapy						Clinical and Medical Counseling, Therapy and Treatment			http://www.masstherapist.com/LGBTQQIAServices.en.html	183 West State Street		Granby	MA	01033	Hampshire	(413) 222-0998		info@masstherapist.com			LGBTQ	Transgender				I have been providing quality care and services for the LGBTIQQ community for over 20 years.  In consultation with our team of  professional associates, we offer a wide range of expert counseling, consultation and referral services.   We specialize in assisting and supporting gender-variant people of all ages, and in working with bisexual people.  Some of our services are listed below.  				
Dr. Yvonne Gomez- Carrion, M.D.	Physical Health		Health and Mental Health	Other Specialist: OB/GYN	Sexual Health Services				Health Care			Other Health Care Provider Services							Clinical and Medical Counseling, Therapy, and Treatment			http://services.bidmc.org/Find_a_doc/doc_detail.asp?sid=41414642504443	330 Brookline Avenue	Shapiro 8	Boston	MA	02215	Suffolk	(617) 667-2952		 patientrelations@bidmc.harvard.edu	Eileen Hughes	ehughes@bidmc.harvard.edu	LGBTQ									
East Coast FTM Group	Community & Social Support		Community Group						Para-professional Support Services			Para-professional Counseling, Therapy and Support							Direct Prevention, Outreach and Stabilization Services						Northampton	MA	01060	Hampshire	(413) 584-7616	Bet Power	betpower@yahoo.com			LGBTQ	Transgender				Peer support group open to all masculine-identified, female-born persons – FTMs, transmen of all sexual orientations/identities, crossdressers, stone butches, transgendered, transsexuals, non-op, pre-op, post-op, genderqueer, bi-gendered, questioning – and our significant others, family, and allies.				
Eunice Aviles,. PsyD	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services	Substance Abuse Services	Domestic and Sexual Violence Services			Behavioral Health Services			Clinical Counseling	Substance Abuse Services	Other Professional Counseling and Therapy					Clinical and Medical Counseling, Therapy and Treatment			http://euniceaviles.com/	26 South Prospect Street	Suite 19	Amherst	MA	01002	Hampshire	(413) 657-6104	Eunice Aviles	dr.euniceaviles@gmail.com		therapy@euniceaviles.com	LGBTQ	Transgender				I am a Doctor in Clinical Psychology and a Licensed Mental Health Counselor. My general practice focuses on the treatment of depression, anxiety, trauma, substance abuse, impulse control disorders, and the emotional consequences of bullying (for youths and adults) and other social issues. I specialize in the diagnosis and treatment of sexual dysfunction as well as in sexual orientation and gender-related issues.	English, Spanish	Yes	Private Health Insurance	
Eunice Aviles,. PsyD	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services	Substance Abuse Services				Behavioral Health Services			Clinical Counseling	Substance Abuse Services	Other Professional Counseling and Therapy					Clinical and Medical Counseling, Therapy and Treatment			http://euniceaviles.com/	57 Mulberry Street		Springfield	MA	01105	Hampden	(413) 657-6105	Eunice Aviles	dr.euniceaviles@gmail.com		therapy@euniceaviles.com	LGBTQ	Transgender				I am a Doctor in Clinical Psychology and a Licensed Mental Health Counselor. My general practice focuses on the treatment of depression, anxiety, trauma, substance abuse, impulse control disorders, and the emotional consequences of bullying (for youths and adults) and other social issues. I specialize in the diagnosis and treatment of sexual dysfunction as well as in sexual orientation and gender-related issues.	English, Spanish	Yes	Private Health Insurance	
Fenway  Health Center	Physical Health	Mental Health	Health and Mental Health	Sexual Health Services	Primary Care Services	Dental Services	Screening and Testing	Counseling, Therapy, Psychological and Psychiatric Services	Health Care	Behavioral Health Services	Diagnostics	Primary Care Services	Psychiatric Services	Dental Services	Other Health Care Provider Services	Clinical Counseling	Behavioral Counseling	Medical Screening and Testing	Clinical and Medical Counseling, Therapy, and Treatment			http://www.fenwayhealth.org/	1340 Boylston Street		Boston	MA	02215	Suffolk	(617) 267-0900		information@fenwayhealth.org	Chris Viveiros  Phone: (617) 927-6342 | Mobile: (617) 721-7494 Thursday (April 10) at 1pm	CViveiros@fenwayhealth.org	LGBTQ					The mission of Fenway Health is to enhance the wellbeing of the lesbian, gay, bisexual and transgender community and all people in our neighborhoods and beyond through access to the highest quality health care, education, research and advocacy.	English, Spanish, We have translators for other languages.	Yes	MassHealth, Medicaid, Medicare, Private health insurance	 Also has pharmacy, eye care.
First Baptist Church Worcester	Faith Based Organization		Faith Based Organization						Para-professional Support Services													www.fbc-worc.org	111 Park Avenue		Worcester	MA	01609	Worcester	(508) 756-6143		info@fbc-worc.org								God's abounding love and grace are offered to all and is meant to be shared and celebrated by all. It embraces persons of every age, race, sexual orientation, denomination, cultural background and economic means as vital and integral members of God's family. We welcome EVERYONE to participate in the membership life, worship and activities of this church.				
First Church Somerville UCC	Faith Based Organization		Faith Based Organization						Para-professional Support Services													firstchurchsomerville.org	89 College Avenue		Somerville	MA	02144	Middlesex	(617) 625-6485		fcs@firstchurchsomerville.org								Curious, fun-loving, warm, open. Progressive, justice-doing, questioning. Young and young at heart. Boundary-busting community. Just as God made us, and as we are becoming.				
First Church Unitarian Universalist	Faith Based Organization		Faith Based Organization						Para-professional Support Services													http://www.firstchurchuu.org/	15 West Street		Leominster	MA	01453	Worcester	(978) 537-0310		1stchurchoffice@verizon.net								We are an active and vibrant church serving the north central communities of Massachusetts in and around the city of Leominster. 				
First Parish Chelmsford Unitarian Universalist	Faith Based Organization		Faith Based Organization						Support Services													uuchelmsford.org	2 Westford Street		Chelmsford	MA	01824	Middlesex	(978) 256-5133		office@uuchelmsford.org								We are a liberal religious community in the Unitarian Universalist tradition. We do not hold one another to any creed or doctrine. Our mission is to be a welcoming, inclusive and nurturing environment for worship and spiritual growth. Our community promotes and encourages respect for each individual in his/her search for truth and development of personal values; learning through an open-minded exchange of ideas; and compassion for and commitment to each other and the world.				
First Parish Unitarian Universalist of Fitchburg	Faith Based Organization		Faith Based Organization						Para-professional Support Services													http://www.fitchburguu.org/	923 Main Street 		Fitchburg	MA	01420	Worcester	(978) 343-6307 		fitchburguu@verizon.net								We congregate, rejuvenate, celebrate and console to better commit ourselves and our resources to service the community and our world.  				
First Unitarian Church Worcester	Faith Based Organization		Faith Based Organization						Para-professional Support Services													www.firstunitarian.com	90 Main Street		Worcester	MA	01608	Worcester	(508) 757-2708	Donna Rossio	office@firstunitarian.com								We come together as a community of people to deepen our spiritual lives and to live in right relationship with our fellow human beings and with all creation. We are committed to moving closer to truth, to reality, to God. We covenant to unite in the love of truth, and in the Spirit of Jesus, for the worship of God and the service of all.	English	Yes	N/A	
Friends of GLBT Youth	Training & Advocacy		Awareness and Advocacy									Awareness and Advocacy										friendsofglbtyouth.org	14 Rockwood Street		Jamaica Plain	MA	02130	Suffolk			board@friendsofglbtyouth.org - EMAIL DOES NOT WORK			LGBTQ	Allies				The Friends of GLBT Youth is a non-profit organization dedicated to eradicating the prejudice and stigma facing GLBT youth and allowing all youth to thrive and reach their potential equally.				
Gay and Lesbian AA Group	Community & Social Support		Substance Abuse Services	Community Group					Para-professional Support Services														St. John Episcopal Church, 48 Elm Street		Northampton	MA	01060	Hampshire	(413) 582-0743		valleyctr@hotmail.com -  EMAIL DOES NOT WORK												Meets Fridays 7:30 p.m.  Newcomers' meeting starts at 6:15 p.m. on Fridays.
GLBT Alliance of North Central Massachusetts 15 West Teen Coffeehouse	Community & Social Support		Community Group						Para-professional Support Services			Para-professional Counseling, Therapy and Support							Clubhouse			http://www.facebook.com/pages/GLBT-Alliance-of-North-Central-Massachusetts/330606856972422	First Parish Unitarian Univeralist of Fitchburg, 932 Main Street		Fitchburg	MA	01420	Worcester	(978) 537-0310  		mailto:GLBTalliance@gmail.com			LGBTQ					The GLBT Alliance of North Central Massachusetts is a partnership project to promote the vitality and well being of the region by developing and piloting a series of monthly cultural, social, and recreational events for the GLBT population and their advocates. The intent is to help build awareness and understanding of GLBT issues among local schools, organizations, and communities while providing GLBT persons with venues for personal growth and development.				
GLBT Alliance of North Central Massachusetts 15 West Teen Coffeehouse	Community & Social Support		Community Group						Para-professional Support Services			Para-professional Counseling, Therapy and Support							Clubhouse			http://www.facebook.com/pages/GLBT-Alliance-of-North-Central-Massachusetts/330606856972422	First Church Unitarian Universalist,15 West Street		Leominster	MA	01453	Worcester	(978) 537-0310  		mailto:GLBTalliance@gmail.com			LGBTQ					The GLBT Alliance of North Central Massachusetts is a partnership project to promote the vitality and well being of the region by developing and piloting a series of monthly cultural, social, and recreational events for the GLBT population and their advocates. The intent is to help build awareness and understanding of GLBT issues among local schools, organizations, and communities while providing GLBT persons with venues for personal growth and development.				
GLBT Community Center Project of Western Massachusetts	Community & Social Support		Community Group																				17 New South Street	Suite 111	Northampton	MA	01060	Hampshire			valleyctr@hotmail.com - EMAIL DOES NOT WORK												
GLBTQ Listening Line (Fenway Health)	Mental Health			Hotline Services					Para-professional Support Services			Hotline Services							Hotline Support			http://www.fenwayhealth.org/site/PageServer?pagename=FCHC_srv_services_tollfree			Boston	MA		Suffolk	1 (800) 340-4528					LGBTQ				25	Fenway Health’s Lesbian, Gay, Bisexual and Transgender Helpline and The Peer Listening Line are anonymous and confidential phone lines that offer gay, lesbian, bisexual and transgender adults and youths a “safe place” to call for information, referrals, and support. In addition to issues like coming out, HIV/AIDS, safer sex and relationships, our trained volunteers also address topics such as locating LGBT groups and services in their local area.				
GLBTQA Youth Alliance Pride Zone	Community & Social Support		Community Group	Education, Training, and Employment					Para-professional Support Services			Para-professional Counseling, Therapy and Support							Clubhouse				34 Maplewood Shop		Northampton	MA	01060	Hampshire	(413) 584-1116	Heather King	przone@valinet.com - EMAIL DOES NOT WORK			LGBTQ	Transgender			21	The GLBTQA Youth Alliance is open to all youth aged 21 and under. We meet every Thursday from 7 to 8:30 p.m. During meeting times youth engage in a weekly check-in and then move on to either discussions that have come up during the check-in time or other discussions and/or trainings that youth have decided upon as a group.				
GLSEN Massachusetts	Training & Advocacy			Awareness and Advocacy	Education, Training, and Employment				Awareness			Community Outreach, Education and Engagement							Community Prevention, Education and Outreach			http://glsen.org/chapters/massachusetts	PO Box 51243		Boston	MA	02205	Suffolk	(617) 684-5736		mailto:massachusetts@chapters.glsen.org			LGBTQ					The Gay, Lesbian & Straight Education Network strives to assure that each member of every school community is valued and respected regardless of sexual orientation or gender identity/expression.We believe that such an atmosphere engenders a positive sense of self, which is the basis of educational achievement and personal growth. Since homophobia and heterosexism undermine a healthy school climate, we work to educate teachers, students and the public at large about the damaging effects these forces have on youth and adults alike.				
Greater Boston PFLAG	Community & Social Support		Community Group	Education, Training, and Employment	Awareness and Advocacy				Para-professional Support Services			Para-professional Counseling, Therapy and Support							Community Prevention, Education and Outreach			http://www.gbpflag.org/	85 River Street	Suite 3A	Waltham	MA	02453	Middlesex	(781) 891-5966		info@gbpflag.org	Pam Garramone	pam.garramone@gbplfag.org	Family	Allies	LGBTQ			Greater Boston PFLAG works to create environments of understanding so that all people can live with dignity and respect through support, education and advocacy.	English	No	N/A	Target age of children is 12-22, parents 30-70. Target populations also include transgender people, college students, middle and high schools, corporate community and religious organizations 
Greenfield GLASS (Gay, Lesbian and Straight Society)	Community & Social Support		Drop-in Center						Para-professional Support Services			Para-professional Counseling, Therapy and Support							Clubhouse						Greenfield	MA		Franklin	(413) 774-7028		GLASS@fcac.net			LGBTQ					This is a safe space to hang out at, make new friends, and relax. They have a darkroom, computer stations, a library, a TV room, and a kitchen where you can grab a bite to eat. They have a staff of full-time professionals to offer support and resources. 				
Havurat Shalom	Faith Based Organization		Faith Based Organization						Para-professional Support Services													thehav.org	113 College Avenue		Somerville	MA	02144	Middlesex	(617) 623-3376		info@thehav.org	Heidi Friedman		LGBTQ 	Transgender	Allies			Founded in 1968, Havurat Shalom is an egalitarian Jewish community in Somerville, Massachusetts where women and men come to pray and learn; explore, celebrate and grapple with Jewish tradition; work for social justice; and discuss a variety of Jewish concerns.	English, Hebrew	Yes	N/A	We're a small, progressive Jewish community which is diverse in terms of LGBT/straight, families/singles, disability/able-bodied, age, varying levels of Jewish education and varying levels of Jewish observance. Our services are free and open to the public. College students, interfaith families, Jews by Choice
Healing Abuse Working for Change (HAWC)	Mental Health		Domestic and Sexual Violence Services	Health and Mental Health	Hotline Services				Para-professional Support Services			Para-professional Counseling, Therapy and Support										http://hawcdv.org/	27 Congress Street		Salem	MA	01970	Essex	(978) 744-8552		Contact form on website								To support the healing process of abuse and to change social norms and behaviors that perpetuate violence and oppression.				
Health Quarters	Physical Health		Health and Mental Health	Government Entity	Screening and Testing	Sexual Health Services			Health Care	Diagnostics		Other Health Care Provider Services 	Medical Screening and Testing									http://www.healthq.org/	215 Summer Street	Suite 16	Haverhill	MA	01830	Essex	(978) 521-4444		info@healthq.org	Ruth Price	ruthp@healthq.org	LGBTQ					Health Quarters offers an environment free of discrimination.  We work with people of all different sexual orientations, gender identities and gender expressions.  And we respect each individual’s life choices.  We’re proud to provide high quality, affordable sexual health care, treating all patients with an equal level of respect and dignity.	English, Spanish	Yes (but no low/high exam tables yet)	MassHealth, Medicaid, Medicare, Private health insurance, Sliding fee scale--do not deny access to services.	
Health Quarters	Physical Health		Health and Mental Health	Government Entity	Screening and Testing	Sexual Health Services			Health Care	Diagnostics		Other Health Care Provider Services 	Medical Screening and Testing									http://www.healthq.org/	101 Amesbury Street	Suites 106 &107	Lawrence	MA	01840	Essex	(978) 681-5258		info@healthq.org	Ruth Price	ruthp@healthq.org	LGBTQ					Health Quarters offers an environment free of discrimination.  We work with people of all different sexual orientations, gender identities and gender expressions.  And we respect each individual’s life choices.  We’re proud to provide high quality, affordable sexual health care, treating all patients with an equal level of respect and dignity.	English, Spanish	Yes (but no low/high exam tables yet)	MassHealth, Medicaid, Medicare, Private health insurance, Sliding fee scale--do not deny access to services.	
Health Quarters	Physical Health		Health and Mental Health	Government Entity	Screening and Testing	Sexual Health Services			Health Care	Diagnostics		Other Health Care Provider Services 	Medical Screening and Testing									http://www.healthq.org/	900 Cummings Center	Suite 126-R	Beverly	MA	01915	Essex	(978) 922-4490		info@healthq.org	Ruth Price	ruthp@healthq.org	LGBTQ					Health Quarters offers an environment free of discrimination.  We work with people of all different sexual orientations, gender identities and gender expressions.  And we respect each individual’s life choices.  We’re proud to provide high quality, affordable sexual health care, treating all patients with an equal level of respect and dignity.	English, Spanish	Yes (but no low/high exam tables yet)	MassHealth, Medicaid, Medicare, Private health insurance, Sliding fee scale--do not deny access to services.	
Hispanic Black Gay Coalition	Training  & Advocacy			Awareness and Advocacy	Sexual Health Services				Awareness	Training and Educational Activities	Para-professional Support Services	Community Outreach, Education and Engagement							Community Prevention, Education and Outreach			http://www.hbgc-boston.org	485 Columbus Avenue		Boston	MA	02118	Suffolk	(617) 487-4242		mailto:Info@HBGC-Boston.org			LGBTQ	POC				Hispanic Black Gay Coalition (HBGC) is one of few non-profit organizations in Boston dedicated to the unique and complex needs of the Black, Hispanic and Latin@ LGBTQ community. Founded in 2009, we work to inspire and empower Latin@, Hispanic and Black LGBTQ individuals to improve their livelihood through activism, education, community outreach, and counseling.				
Holyoke Equal Rights Association (HERA)	Community & Social Support		Community Group	Drop-in Center					Para-professional Support Services			Para-professional Counseling, Therapy and Support							Community Prevention, Education, and Outreach	Child/Adolescent Community Based Social Skills and Recreation		http://youthtaskforce.org/youth/h-e-r-a-2/	6 Open Square Way		Holyoke	MA	01040	Hampden	(413) 537-8713	Anthony Wilson	awilson@studyhome.org			LGBTQ	Transgender	Allies	13	21	H.E.R.A. provide Holyoke’s LGBTQ youth and their allies a safe and bully free space, in where they can be themselves, receive safer sex information, develop their leadership, and more.	English, Spanish	During school year	N/A	
Human Rights Campaign Boston	Training  & Advocacy		Awareness and Advocacy	Education, Training, and Employment					Training and Educational Activities			Awareness and Advocacy										http://hrcboston.org/			Boston	MA		Suffolk			membership@hrcboston.org			LGBTQ					Our vision is an American society of equality in which all individuals, families, and communities are secure, authentic, and empowered.				
Hyde Square Task Force - not Trans competent	Community & Social Support		Community Group	Awareness and Advocacy					Awareness			Community Outreach, Education and Engagement							Community Prevention, Education and Outreach			http://www.hydesquare.org/	375 Centre Street		Jamaica Plain	MA	02130	Suffolk	(617) 524-8303		mailto:info@hydesquare.org	Yi Chin Chen	yichin@hydesquare.org	LGBTQ			6	25	Hyde Square Task Force was founded by a group of committed local residents and youth in order to address daily pressing challenges including violence and lack of resources for youth and families. From organizing to create more systemic accountability to creating programs that fulfill immediate needs, we have always believed that solutions lie with those most affected. 	English, Spanish, Mandarin	No	N/A	
J. Michael Rowan, MSW, LICSW	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services					Behavioral Health Services			Clinical Counseling;Other Professional Counseling and Therapy							Clinical and Medical Counseling, Therapy and Treatment						Easthampton	MA	01027	Hampshire	(413) 773-5420		Email@RowanPsychotherapy.com -  EMAIL DOES NOT WORK			LGBTQ	Transgender								
J. Michael Rowan, MSW, LICSW	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services					Behavioral Health Services			Clinical Counseling;Other Professional Counseling and Therapy							Clinical and Medical Counseling, Therapy and Treatment						Greenfield	MA	01302	Hampshire	(413) 773-5420	SAME PHONE	Email@RowanPsychotherapy.com - EMAIL DOES NOT WORK			LGBTQ	Transgender								
James B. Winston 	Legal		Legal Services						Other Professional Services			Legal Services										 james@jameswinstonlaw.com 	142 Main Street 	Suite #1	Northampton	MA	 01060 	Hampshire	(413) 584-1110 		 james@jameswinstonlaw.com 			Transgender									
Joanna Frost, MSW, LICSW	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services					Behavioral Health Services			Clinical Counseling	 Behavioral Counseling	Other Professional Counseling and Therapy					Clinical and Medical Counseling, Therapy, and Treatment			http://www.joannafrost.com/Joanna_Frost/Welcome.html	700 Main Street		Holyoke	MA	01040	Hampden	(413) 534-3033	Joanna Frost	joannafrst@yahoo.com			LGBTQ	Transgender				An independent Licensed Clinical Social Worker providing a range of services, including those related to gender identity				
Journeys of Hope, Inc.	Employment & Housing Services		Education, Training, and Employment	Case Management	Housing and Shelter Services				Para-professional Support Services			Case Management	Para-professional Counseling, Therapy and Support						Child/Adolescent Community Based Social Skills and Recreation			http://johma.org/	211 Bridge Street		Salem	MA	01970	Essex	(978) 500-7478	Phil Hayes	phayes.journeysofhope@gmail.com﻿	Chris Judkins	cjudkins.journeysofhope@gmail.com				18	23	Journeys of Hope, Inc. is a non-profit organization on the North Shore of Boston, serving homeless and at-risk young adults between the ages of 18 to 23. The goal is to assist this age group to move from a homeless lifestyle to one of sustained shelter through a productive lifestyle.	English	Yes	N/A	
Julie Dialessi-Lafley	Legal		Legal Services						Other Professional Services			Legal Services							Legal Protective Services			http://www.baconwilson.com/attorneys/dialessi-lafley	33 State Street	Bacon Wilson, Attorneys at Law	Springfield	MA	01103	Hampden	(413) 781-0560	Julie Dialessi-Lafley	JDialessi-lafley@BaconWilson.com								My philosophy is that I am here for my clients and it should not be the other way around. I strive to service my clients in the most professional and efficient manner from both a time and cost perspective, while ultimately achieving the desired end result.  By establishing long term relationships with my clients and with the community through civic involvement, I am able to give back to each individual and the community as a whole.				
K-Street Facilities Committee, Inc.	Mental Health		Health and Mental Health	Community Group	Substance Abuse Services				Para-professional Support Services			Para-professional Counseling, Therapy and Support							Clubhouse			http://www.k-street.com/	74 Kilmarnock Street		Boston	MA	02115	Suffolk	(617) 777-0702		mailto:chairperson@k-street.com		mailto:secretary@k-street.com	LGBTQ					Safe meeting space for LGBT individuals seeking recovery from addition, abuse, or discrimination				
Karen Belleville 	Physical Health		Health and Mental Health	Other Specialist: Electrolysis					Other Professional Services					Other Health Care Provider Services								www.finallyhairfree.com 	Bay State Electrolysis, 89 Old West Street 		Ludlow	MA	01056 	Hampden	(413) 210-5978 		kbelleville@charter.net			Transgender			10	100		English	Not sure	N/A	
Karen Martin-Essa 	Physical Health		Health and Mental Health	Other Specialist: Electrolysis					Other Professional Services														23 Main Street 		Easthampton	MA	01027	Hampshire	(413) 529-0190 		 kessa@charter.net 			Transgender									
Katherine Pangborn, M.A. 	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services					Health Care	 Behavioral Health Services												http://www.katherinepangborn.com/	35 State Street		Northampton	MA	01060	Hampshire	(414) 437-4484		Katherinepangborn@gmail.com			Transgender									
Keshet	Faith Based Organization	Training & Advocacy	Community Group	Awareness and Advocacy	Faith Based Organization	Education, Training, and Employment			Training and Educational Activities	Awareness	Para-professional Support Services											keshetonline.org	284 Amory Street		Jamaica Plain	MA	02130	Suffolk	(617) 524-9227		info@keshetonline.org	Joanna Ware	joanna@keshetonline.org	LGBTQ	Transgender		14		Keshet is a national grassroots organization that works for the full equality and inclusion of lesbian, gay, bisexual, and transgender (LGBT) Jews in Jewish life. Led and supported by LGBT Jews and straight allies, Keshet strives to cultivate the spirit and practice of inclusion in all parts of the Jewish community. We began as a small, grassroots group working for change in the Greater Boston area, and we are now a national organization with offices in the Bay Area and Denver, in addition to our national office in Boston.	English, Spanish, Hebrew	Yes	N/A	
Keshet Parent and Family Connection	Faith Based Organization	Training & Advocacy	Community Group	Awareness and Advocacy	Faith Based Organization	Education, Training, and Employment			Para-professional Support Services			Para-professional Counseling, Therapy and Support							Community Prevention, Education and Outreach			http://www.keshetonline.org/program/support-families/	284 Amory Street		Jamaica Plain	MA	02130	Suffolk	(617) 524-9227		info@keshetonline.org			LGBTQ	Family				We are parents and family members of LGBTQ (lesbian, gay, bisexual, transgender, and queer) Jews who are coming together to transform the Jewish community through peer support, public events, and advocating for institutional change. We come from all streams of the Jewish world, have children of all genders and sexual orientations, and are driven by personal journeys of struggle and celebration.	English, Spanish, Hebrew	Yes	N/A	
Latin American Health Institute	Physical Health		Health and Mental Health	Case Management	Substance Abuse Services	Counseling, Therapy, Psychological and Psychiatric Services	HIV and AIDS Services		Behavioral Health Services 	Para-professional Support Services		Clinical Counseling	Substance Abuse Services	Other Professional Counseling and Therapy	Service Coordination/Case management				Community Prevention, Education and Outreach			http://www.lhi.org/Homepage.aspx	95 Berkeley Street		Boston	MA	02116	Suffolk	(617) 350-6900		boston@lhi.org -  EMAIL DOES NOT WORK			LGBTQ	POC				The Latin American Health Institute is a community-based professional organization that promotes the health of the community, its institutions, families, and individuals through effective interventions that are culturally competent and technologically appropriate.				
Latin American Health Institute	Physical Health		Health and Mental Health	Substance Abuse Services	Case Management	Counseling, Therapy, Psychological and Psychiatric Services	HIV and AIDS Services		Behavioral Health Services	Para-professional Support Services		Clinical Counseling	Substance Abuse Services	Other Professional Counseling and Therapy	Service Coordination/Case management				Community Prevention, Education and Outreach	LGBTQ youth		http://www.lhi.org/Homepage.aspx	142 Crescent Street	Second Floor	Brockton	MA	02302	Plymouth	(508) 941-0005		brockton@lhi.org			LGBTQ	POC				The Latin American Health Institute is a community-based professional organization that promotes the health of the community, its institutions, families, and individuals through effective interventions that are culturally competent and technologically appropriate.				
Latin American Health Institute	Physical Health		Health and Mental Health	Case Management	Substance Abuse Services	Counseling, Therapy, Psychological and Psychiatric Services	HIV and AIDS Services		Behavioral Health Services	Para-professional Support Services		Clinical Counseling	Substance Abuse Services	Other Professional Counseling and Therapy	Service Coordination/Case management				Community Prevention, Education and Outreach			http://www.lhi.org/Homepage.aspx	9 Central Street		Lowell	MA	01852	Middlesex	(978) 459-3366		lowell@lhi.org -  EMAIL DOES NOT WORK			LGBTQ	POC				The Latin American Health Institute is a community-based professional organization that promotes the health of the community, its institutions, families, and individuals through effective interventions that are culturally competent and technologically appropriate.				
Leslie McLellan Brown 	Legal		Legal Services						Other Professional Services			Legal Services										lesliembrown.com	241 King Street 	Suite #216 	Northampton	MA	 01060 	Hampshire	(413) 586-0446 		leslie@lesliembrown.com 			Transgender									
